序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
56191,="16:32:44.536",0x10904D3,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56192,="16:32:44.536",0x10904D4,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E4 00 
56193,="16:32:44.536",0x10904D5,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56194,="16:32:44.536",0x10904D6,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56195,="16:32:44.536",0x10904D8,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56196,="16:32:44.536",0x10904D8,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56197,="16:32:44.536",0x10904DA,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56198,="16:32:44.536",0x10904DB,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
56199,="16:32:44.536",0x10904DC,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| B5 03 00 00 18 02 00 00 
56200,="16:32:44.536",0x10904DD,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 84 00 
56201,="16:32:44.536",0x10904DE,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| A6 02 00 00 37 02 D6 00 
56202,="16:32:44.536",0x10904E0,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56203,="16:32:44.536",0x10904E9,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56204,="16:32:44.536",0x10904EB,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
56205,="16:32:44.536",0x10904EC,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56206,="16:32:44.536",0x10904ED,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 45 01 00 00 18 02 00 00 
56207,="16:32:44.536",0x10904EE,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 92 00 
56208,="16:32:44.536",0x10904F0,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| CE FF FF FF 37 02 EC 00 
56209,="16:32:44.536",0x10904F1,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56210,="16:32:44.536",0x10904F2,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56211,="16:32:44.536",0x10904F3,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 87 00 00 00 
56212,="16:32:44.536",0x10904F4,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56213,="16:32:44.536",0x10904F5,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56214,="16:32:44.536",0x10904F6,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56215,="16:32:44.536",0x10904F8,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56216,="16:32:44.536",0x10904F9,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56217,="16:32:44.536",0x10904FA,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| E0 FF FF FF 18 02 00 00 
56218,="16:32:44.536",0x10904FB,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 02 00 00 00 37 02 C7 00 
56219,="16:32:44.536",0x10904FC,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 7B 00 
56220,="16:32:44.536",0x10904FE,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56221,="16:32:44.536",0x1090507,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56222,="16:32:44.536",0x1090509,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
56223,="16:32:44.536",0x109050A,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56224,="16:32:44.536",0x109050B,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 84 00 
56225,="16:32:44.536",0x109050C,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D6 00 
56226,="16:32:44.536",0x109050E,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 84 FC FF FF 18 02 00 00 
56227,="16:32:44.536",0x109050F,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56228,="16:32:44.536",0x1090510,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56229,="16:32:44.536",0x1090511,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56230,="16:32:44.536",0x1090512,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56231,="16:32:44.536",0x1090514,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56232,="16:32:44.536",0x1090515,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56233,="16:32:44.536",0x1090516,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56234,="16:32:44.536",0x1090519,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56235,="16:32:44.536",0x109051B,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
56236,="16:32:44.536",0x109051C,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| BB 05 00 00 18 02 00 00 
56237,="16:32:44.536",0x109051D,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D4 00 
56238,="16:32:44.536",0x109051E,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 82 00 
56239,="16:32:44.536",0x1090525,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56240,="16:32:44.536",0x1090527,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
56241,="16:32:44.536",0x1090528,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56242,="16:32:44.536",0x1090529,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 89 00 
56243,="16:32:44.536",0x109052A,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
56244,="16:32:44.536",0x109052B,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| CE FB FF FF 18 02 00 00 
56245,="16:32:44.536",0x109052D,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DF 00 
56246,="16:32:44.536",0x109052E,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56247,="16:32:44.536",0x109052F,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56248,="16:32:44.536",0x1090530,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56249,="16:32:44.536",0x1090532,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56250,="16:32:44.536",0x1090532,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56251,="16:32:44.536",0x1090533,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56252,="16:32:44.536",0x1090536,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56253,="16:32:44.536",0x1090537,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 65 FD FF FF 18 02 00 00 
56254,="16:32:44.536",0x1090538,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56255,="16:32:44.536",0x1090539,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D6 00 
56256,="16:32:44.536",0x109053A,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 84 00 
56257,="16:32:44.536",0x1090543,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56258,="16:32:44.536",0x1090545,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
56259,="16:32:44.536",0x1090546,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 94 00 
56260,="16:32:44.536",0x1090547,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
56261,="16:32:44.536",0x1090548,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 7C 03 00 00 18 02 00 00 
56262,="16:32:44.536",0x1090549,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 F0 00 
56263,="16:32:44.536",0x109054B,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56264,="16:32:44.536",0x109054C,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56265,="16:32:44.536",0x109054D,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56266,="16:32:44.536",0x109054E,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56267,="16:32:44.536",0x109054F,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56268,="16:32:44.536",0x1090550,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56269,="16:32:44.536",0x1090551,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56270,="16:32:44.536",0x1090553,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56271,="16:32:44.536",0x1090554,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56272,="16:32:44.536",0x1090555,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| A9 FA FF FF 18 02 00 00 
56273,="16:32:44.536",0x1090556,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E0 00 
56274,="16:32:44.536",0x1090557,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8A 00 
56275,="16:32:44.536",0x1090561,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56276,="16:32:44.536",0x1090563,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
56277,="16:32:44.536",0x1090564,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56278,="16:32:44.536",0x1090565,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56279,="16:32:44.536",0x1090566,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 84 00 
56280,="16:32:44.536",0x1090567,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| A7 FF FF FF 18 02 00 00 
56281,="16:32:44.536",0x1090569,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D6 00 
56282,="16:32:44.536",0x109056A,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56283,="16:32:44.536",0x109056B,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56284,="16:32:44.536",0x109056C,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56285,="16:32:44.536",0x109056E,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56286,="16:32:44.536",0x109056F,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56287,="16:32:44.536",0x109056F,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56288,="16:32:44.536",0x1090573,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56289,="16:32:44.536",0x1090574,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 9F FF FF FF 18 02 00 00 
56290,="16:32:44.536",0x1090575,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56291,="16:32:44.536",0x1090576,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E0 00 
56292,="16:32:44.536",0x1090577,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8A 00 
56293,="16:32:44.536",0x109057F,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56294,="16:32:44.536",0x1090581,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
56295,="16:32:44.536",0x1090582,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56296,="16:32:44.536",0x1090583,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 04 00 00 00 18 02 00 00 
56297,="16:32:44.536",0x1090584,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 90 00 
56298,="16:32:44.536",0x1090585,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 EA 00 
56299,="16:32:44.536",0x1090587,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56300,="16:32:44.536",0x1090588,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56301,="16:32:44.536",0x1090589,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56302,="16:32:44.536",0x109058A,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56303,="16:32:44.536",0x109058B,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56304,="16:32:44.536",0x109058C,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56305,="16:32:44.536",0x109058D,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56306,="16:32:44.536",0x109058F,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56307,="16:32:44.536",0x1090590,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 84 00 
56308,="16:32:44.536",0x1090591,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 92 FD FF FF 18 02 00 00 
56309,="16:32:44.536",0x1090592,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D6 00 
56310,="16:32:44.536",0x1090593,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56311,="16:32:44.536",0x109059D,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56312,="16:32:44.536",0x109059E,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
56313,="16:32:44.536",0x10905A0,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56314,="16:32:44.536",0x10905A1,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 86 00 
56315,="16:32:44.536",0x10905A2,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DA 00 
56316,="16:32:44.536",0x10905A3,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| ED FC FF FF 18 02 00 00 
56317,="16:32:44.536",0x10905A5,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56318,="16:32:44.536",0x10905A6,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56319,="16:32:44.536",0x10905A7,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56320,="16:32:44.536",0x10905A8,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56321,="16:32:44.536",0x10905A9,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56322,="16:32:44.536",0x10905AB,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56323,="16:32:44.536",0x10905AB,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56324,="16:32:44.536",0x10905AE,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56325,="16:32:44.536",0x10905AF,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| F3 FF FF FF 18 02 00 00 
56326,="16:32:44.536",0x10905B0,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56327,="16:32:44.536",0x10905B2,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E0 00 
56328,="16:32:44.536",0x10905B3,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8A 00 
56329,="16:32:44.536",0x10905BB,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56330,="16:32:44.566",0x10905BC,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
56331,="16:32:44.566",0x10905BE,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56332,="16:32:44.566",0x10905BF,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8F 00 
56333,="16:32:44.566",0x10905C0,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
56334,="16:32:44.566",0x10905C1,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 52 04 00 00 18 02 00 00 
56335,="16:32:44.566",0x10905C2,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E9 00 
56336,="16:32:44.566",0x10905C4,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56337,="16:32:44.566",0x10905C5,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56338,="16:32:44.566",0x10905C6,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56339,="16:32:44.566",0x10905C7,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56340,="16:32:44.566",0x10905C8,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56341,="16:32:44.566",0x10905C9,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56342,="16:32:44.566",0x10905CB,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56343,="16:32:44.566",0x10905CC,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 1D FE FF FF 18 02 00 00 
56344,="16:32:44.566",0x10905CD,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56345,="16:32:44.566",0x10905CF,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DB 00 
56346,="16:32:44.566",0x10905D0,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 87 00 
56347,="16:32:44.566",0x10905D9,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56348,="16:32:44.566",0x10905DA,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
56349,="16:32:44.566",0x10905DC,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56350,="16:32:44.566",0x10905DD,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
56351,="16:32:44.566",0x10905DE,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 88 00 
56352,="16:32:44.566",0x10905DF,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| F9 04 00 00 18 02 00 00 
56353,="16:32:44.566",0x10905E0,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DD 00 
56354,="16:32:44.566",0x10905E2,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56355,="16:32:44.566",0x10905E3,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56356,="16:32:44.566",0x10905E4,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56357,="16:32:44.566",0x10905E5,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56358,="16:32:44.566",0x10905E6,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56359,="16:32:44.566",0x10905E7,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56360,="16:32:44.566",0x10905E8,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56361,="16:32:44.566",0x10905EA,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 62 FF FF FF 18 02 00 00 
56362,="16:32:44.566",0x10905EB,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8E 00 
56363,="16:32:44.566",0x10905EC,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E6 00 
56364,="16:32:44.566",0x10905ED,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56365,="16:32:44.566",0x10905F7,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56366,="16:32:44.566",0x10905F8,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
56367,="16:32:44.566",0x10905FA,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56368,="16:32:44.566",0x10905FB,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56369,="16:32:44.566",0x10905FC,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 87 00 
56370,="16:32:44.566",0x10905FD,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 00 00 00 00 18 02 00 00 
56371,="16:32:44.566",0x10905FE,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DB 00 
56372,="16:32:44.566",0x1090600,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56373,="16:32:44.566",0x1090601,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56374,="16:32:44.566",0x1090602,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56375,="16:32:44.566",0x1090603,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56376,="16:32:44.566",0x1090605,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56377,="16:32:44.566",0x1090605,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56378,="16:32:44.566",0x1090608,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56379,="16:32:44.566",0x1090609,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 21 12 00 00 18 02 00 00 
56380,="16:32:44.566",0x109060A,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8C 00 
56381,="16:32:44.566",0x109060B,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| DA 01 00 00 18 02 00 00 
56382,="16:32:44.566",0x109060C,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E4 00 
56383,="16:32:44.566",0x1090615,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56384,="16:32:44.566",0x1090616,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
56385,="16:32:44.566",0x1090618,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56386,="16:32:44.566",0x1090619,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 0E 00 00 00 18 02 00 00 
56387,="16:32:44.566",0x109061A,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8C 00 
56388,="16:32:44.566",0x109061B,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E4 00 
56389,="16:32:44.566",0x109061C,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56390,="16:32:44.566",0x109061E,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56391,="16:32:44.566",0x109061F,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
56392,="16:32:44.566",0x1090620,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56393,="16:32:44.566",0x1090621,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56394,="16:32:44.566",0x1090622,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56395,="16:32:44.566",0x1090623,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
56396,="16:32:44.566",0x1090624,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56397,="16:32:44.566",0x1090626,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 81 00 
56398,="16:32:44.566",0x1090627,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 02 00 00 00 18 02 00 00 
56399,="16:32:44.566",0x1090628,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D1 00 
56400,="16:32:44.566",0x1090629,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
56401,="16:32:44.566",0x1090633,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
56402,="16:32:44.566",0x1090634,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
56403,="16:32:44.566",0x1090636,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
56404,="16:32:44.566",0x1090637,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 84 00 
56405,="16:32:44.566",0x1090638,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
56406,="16:32:44.566",0x1090639,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 82 FF FF FF 18 02 00 00 
56407,="16:32:44.566",0x109063A,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D6 00 
